tract,Name,Household_Income_at_Age_35_rP_gP_pall,Incarceration_Rate_rP_gP_pall,Teenage_Birth_Rate_women_only_rP_gP_pall,Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall,Fraction_Married_at_Age_35_rP_gP_pall,Spouse's_Income_at_Age_35_rP_gP_pall,Employment_Rate_at_Age_35_rP_gP_pall,High_School_Graduation_Rate_rP_gP_pall,College_Graduation_Rate_rP_gP_pall,Hours_Worked_Per_Week_at_Age_35_rP_gP_pall,Hourly_Wage_$/hour_at_Age_35_rP_gP_pall,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall,Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall,Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Household_Income_for_U.S._Natives_rP_gP_pall,Household_Income_for_Immigrants_rP_gP_pall,Individual_Income_for_U.S._Natives_rP_gP_pall,Individual_Income_for_Immigrants_rP_gP_pall,Number_of_Children_rP_gP_pall
22051022301,"Bonnabel Place, Metairie, LA",61512,0.0018,,37508,0.6314,47658,0.8104,,,,,0.3995,,0.3099,,0.6814,0.1817,58457,36898,,,,,487
22051022302,"Bonnabel Place, Metairie, LA",38584,0.0305,,28055,0.4379,45004,0.7454,,,,,0.2232,,0.1915,,0.7383,0.2187,34138,24752,,,,,272
22051022303,"Bonnabel Place, Metairie, LA",46241,0.0086,,33647,0.4097,38034,0.7571,,,,,0.2542,,0.303,,0.6656,0.1361,41586,31341,,,,,449
22051022400,"Metairie, LA",54964,0.0053,,35071,0.5276,46210,0.7239,,,,,0.3418,,0.3272,,0.6843,0.2083,50705,35912,,,,,555
22051022500,"Bonnabel Place, Metairie, LA",54624,0.0118,,34116,0.527,52818,0.7716,,,,,0.347,,0.2459,,0.7408,0.1933,48384,32677,,,,,586
22051022600,"Metairie, LA",71836,0.001,,43644,0.6047,52566,0.7929,,,,,0.479,,0.444,,0.5972,0.1272,67326,41590,,,,,845
22051022700,"Metairie, LA",55994,0.0016,,33888,0.5787,48068,0.8048,,,,,0.3337,,0.2705,,0.6909,0.2471,50219,30186,,,,,569
22051022800,"Metairie, LA",49390,0.001,,32391,0.4986,44832,0.7755,,,,,0.2732,,0.2031,,0.7595,0.2159,49674,32086,,,,,601
22051022900,"Metairie, LA",40968,0.0202,,27069,0.4076,43750,0.719,,,,,0.1597,,0.1921,,0.7666,0.2166,39564,27848,,,,,577
22051023001,"Metairie, LA",59324,0.0079,,38501,0.5241,49376,0.801,,,,,0.3723,,0.3443,,0.7721,0.2409,55581,37185,,,,,318
22051023002,"Metairie, LA",59942,0.0042,,37574,0.5637,49221,0.8284,,,,,0.3535,,0.3065,,0.7738,0.2319,56175,36166,,,,,1045
22051023003,"Metairie, LA",54932,0.0012,,36138,0.5335,43920,0.7911,,,,,0.3194,,0.2464,,0.7387,0.1953,52060,36199,,,,,620
22051023100,"Metairie, LA",39118,0.0413,,27977,0.3673,39356,0.7508,,,,,0.189,,0.171,,0.7153,0.2397,39239,27416,,,,,543
22051023200,"Metairie, LA",40284,0.0128,,30195,0.404,41308,0.7746,,,,,0.1919,,0.2069,,0.7427,0.239,37909,28402,,,,,848
22051023300,"Metairie, LA",46182,0.0031,,31799,0.4553,45387,0.7839,,,,,0.2734,,0.2361,,0.7526,0.2651,43805,30888,,,,,442
22051023400,"Metairie, LA",48194,0.017,,31363,0.48,45298,0.7619,,,,,0.2428,,0.2061,,0.7575,0.2383,45886,31754,,,,,761
22051023500,"Metairie, LA",45554,0.0198,,30148,0.499,43059,0.7611,,,,,0.2359,,0.2128,,0.7671,0.2364,43576,29255,,,,,1175
22051023600,"Metairie, LA",40600,0.0095,,29538,0.3959,40375,0.7863,,,,,0.1951,,0.1826,,0.7376,0.2316,39213,28850,,,,,1400
22051023700,"Metairie, LA",23235,0.0499,,20509,0.1192,31371,0.7441,,,,,0.0464,,0.105,,0.7072,0.3216,22727,21390,,,,,762
22051023800,"River Ridge, LA",36258,0.0316,,26200,0.3366,43702,0.7543,,,,,0.1589,,0.1325,,0.6969,0.2013,33345,25595,,,,,996
22051023901,"River Ridge, LA",59262,0.0089,,37005,0.5755,48087,0.7652,,,,,0.3729,,0.3015,,0.7117,0.2081,54134,35569,,,,,596
22051023902,"River Ridge, LA",63824,0,,40665,0.5851,50999,0.8039,,,,,0.4203,,0.3869,,0.6842,0.1377,60763,41240,,,,,570
22051023903,"River Ridge, LA",59939,0.0011,,38517,0.5709,44300,0.8234,,,,,0.3775,,0.3354,,0.702,0.1893,57893,38228,,,,,577
22051023904,"River Ridge, LA",59007,0.0006,,39458,0.5694,43348,0.8038,,,,,0.356,,0.3403,,0.6868,0.1915,51797,36147,,,,,561
